Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;AvgHome;golshtAway;totalAway;AvgAway;pHome;pAway;Sum;Times
21;19/05/2023;14:30;AUSTRIA;BUNDESLIGA - RELEGATION GROUP - ROUND 30;Ried;Altach;32;44;1,3182;31;43;1,2558;0,7273;0,7209;1,4482;0,5243
22;19/05/2023;13:10;AUSTRIA;2. LIGA - ROUND 28;Admira;First Vienna;29;43;1,3488;30;43;1,3023;0,6744;0,6977;1,3721;0,4705
23;19/05/2023;13:10;AUSTRIA;2. LIGA - ROUND 28;Amstetten;Austria Vienna (Am);28;42;1,4524;35;41;1,8537;0,6667;0,8537;1,5204;0,5692
24;19/05/2023;13:10;AUSTRIA;2. LIGA - ROUND 28;BW Linz;Horn;35;40;1,675;29;42;1,2857;0,875;0,6905;1,5655;0,6042
25;19/05/2023;13:10;AUSTRIA;2. LIGA - ROUND 28;Dornbirn;Floridsdorfer AC;32;39;1,359;32;43;1,2093;0,8205;0,7442;1,5647;0,6106
26;19/05/2023;13:10;AUSTRIA;2. LIGA - ROUND 28;Liefering;Lafnitz;31;41;1,4634;30;42;1,3333;0,7561;0,7143;1,4704;0,5401
27;19/05/2023;07:00;BANGLADESH;PREMIER LEAGUE - ROUND 17;Abahani Limited;Sheikh Russel;34;42;1,6667;30;42;1,2143;0,8095;0,7143;1,5238;0,5782
28;19/05/2023;07:00;BANGLADESH;PREMIER LEAGUE - ROUND 17;Bashundara Kings;Chittagong Abahani;34;43;1,5116;32;43;1,3953;0,7907;0,7442;1,5349;0,5884
29;19/05/2023;07:00;BANGLADESH;PREMIER LEAGUE - ROUND 17;Sheikh Jamal;Mohammedan;32;43;1,186;33;43;1,5116;0,7442;0,7674;1,5116;0,5711
30;19/05/2023;13:10;BELARUS;VYSSHAYA LIGA - ROUND 9;Slavia Mozyr;Slutsk;33;43;1,1628;27;42;0,8333;0,7674;0,6429;1,4103;0,4934
31;19/05/2023;16:00;BOLIVIA;DIVISION PROFESIONAL - ROUND 14;Santa Cruz;Nacional Potosi;29;43;1,1395;34;43;1,5349;0,6744;0,7907;1,4651;0,5332
32;19/05/2023;21:00;BOLIVIA;DIVISION PROFESIONAL - ROUND 14;Tomayapo;Universitario de Vinto;30;43;1,1628;24;43;0,8605;0,6977;0,5581;1,2558;0,3894
