Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;AvgHome;golshtAway;totalAway;AvgAway;pHome;pAway;Sum;Times
34;19/05/2023;19:00;BRAZIL;SERIE B - ROUND 7;Mirassol;Vitoria;0;0;0;26;43;0.023255813953488372;0;0,6047;0,6047;0,0
35;19/05/2023;19:00;BRAZIL;SERIE B - ROUND 7;Tombense;Londrina;0;0;0;23;43;0.0;0;0,5349;0,5349;0,0
36;19/05/2023;21:30;BRAZIL;SERIE B - ROUND 7;Atletico GO;Avai;0;0;0;24;43;0.0;0;0,5581;0,5581;0,0
37;19/05/2023;11:00;BULGARIA;PARVA LIGA - CONFERENCE LEAGUE GROUP - ROUND 32;Slavia Sofia;Arda;0;0;0;29;43;0.0;0;0,6744;0,6744;0,0
38;19/05/2023;13:15;BULGARIA;PARVA LIGA - CONFERENCE LEAGUE GROUP - ROUND 32;Botev Plovdiv;Lok. Sofia;0;0;0;0;0;0.0;0;0;0;0
39;19/05/2023;11:00;CAMEROON;ELITE ONE - RELEGATION - PLAY OFFS - FINAL;Yong Sports Academy;Eding Sport;0;0;0;0;0;0.0;0;0;0;0
40;19/05/2023;20:00;CANADA;CANADIAN PREMIER LEAGUE;Forge;Vancouver FC;0;0;0;4;6;0.0;0;0,6667;0,6667;0,0
41;19/05/2023;16:30;CHILE;PRIMERA DIVISION - ROUND 15;Palestino;O'Higgins;0;0;0;0;0;0.0;0;0;0;0
42;19/05/2023;19:00;CHILE;PRIMERA DIVISION - ROUND 15;A. Italiano;Huachipato;0;0;0;32;43;0.0;0;0,7442;0,7442;0,0
43;19/05/2023;21:30;CHILE;PRIMERA DIVISION - ROUND 15;Coquimbo;Magallanes;0;0;0;0;0;0.0;0;0;0;0
44;19/05/2023;21:00;CHILE;SEGUNDA DIVISION - ROUND 11;Limache;General Velasquez;0;0;0;0;0;0.0;0;0;0;0
45;19/05/2023;06:30;CHINA;SUPER LEAGUE - ROUND 8;Wuhan Three Towns;Chengdu Rongcheng;0;0;0;0;0;0.0;0;0;0;0
46;19/05/2023;08:35;CHINA;SUPER LEAGUE - ROUND 8;Cangzhou;Changchun Yatai;0;0;0;0;0;0.0;0;0;0;0
47;19/05/2023;08:35;CHINA;SUPER LEAGUE - ROUND 8;Nantong Zhiyun;Shenzhen;0;0;0;0;0;0.0;0;0;0;0
