Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;golshtAway;totalAway;pHome;pAway;Sum
164;17/05/2023;13:15;SIERRA LEONE;PREMIER LEAGUE - ROUND 26;Wilberforce Strikers;Wusum Stars;28;43;33;43;0,6512;0,7674;1,4186
165;17/05/2023;04:00;TAIWAN;PREMIER LEAGUE - ROUND 8;Taichung;Taiwan Shihu;28;43;29;43;0,6512;0,6744;1,3256
166;17/05/2023;05:00;TAIWAN;PREMIER LEAGUE - ROUND 8;Taiwan Steel;Hang Yuen;31;43;27;43;0,7209;0,6279;1,3488
167;17/05/2023;07:00;TAIWAN;PREMIER LEAGUE - ROUND 8;Ming Chuan University;AC Taipei;34;43;20;24;0,7907;0,8333;1,624
168;17/05/2023;08:00;TAIWAN;PREMIER LEAGUE - ROUND 8;Taipower;Taipei Deva Dragons;31;43;27;43;0,7209;0,6279;1,3488
169;17/05/2023;11:00;TURKEY;SUPER LIG - ROUND 34;Basaksehir;Umraniyespor;31;43;27;43;0,7209;0,6279;1,3488
170;17/05/2023;14:00;TURKEY;SUPER LIG - ROUND 34;Ankaragucu;Antalyaspor;31;43;27;43;0,7209;0,6279;1,3488
171;17/05/2023;14:00;TURKEY;SUPER LIG - ROUND 34;Karagumruk;Adana Demirspor;31;43;27;43;0,7209;0,6279;1,3488
172;17/05/2023;09:30;TURKMENISTAN;YOKARY LIGA - ROUND 7;FC Asgabat;Altyn Asyr;31;43;27;43;0,7209;0,6279;1,3488
173;17/05/2023;09:30;TURKMENISTAN;YOKARY LIGA - ROUND 7;Sagadam;Merw;31;43;27;43;0,7209;0,6279;1,3488
174;17/05/2023;10:00;TURKMENISTAN;YOKARY LIGA - ROUND 7;Energetik;Arkadag;31;43;27;43;0,7209;0,6279;1,3488
175;17/05/2023;10:15;TURKMENISTAN;YOKARY LIGA - ROUND 7;Nebitci;Ahal;31;43;27;43;0,7209;0,6279;1,3488
176;17/05/2023;12:35;UNITED ARAB EMIRATES;LEAGUE CUP - SEMI-FINALS;Al Ain;Al Nasr;34;43;27;43;0,7907;0,6279;1,4186
177;17/05/2023;20:30;USA;MLS;Atlanta Utd;Colorado Rapids;34;43;27;43;0,7907;0,6279;1,4186
178;17/05/2023;20:30;USA;MLS;Charlotte;Chicago Fire;34;43;27;43;0,7907;0,6279;1,4186
179;17/05/2023;20:30;USA;MLS;Columbus Crew;Los Angeles Galaxy;34;43;27;43;0,7907;0,6279;1,4186
180;17/05/2023;20:30;USA;MLS;FC Cincinnati;CF Montreal;34;43;27;43;0,7907;0,6279;1,4186
181;17/05/2023;20:30;USA;MLS;Orlando City;New York City;27;43;30;43;0,6279;0,6977;1,3256
182;17/05/2023;20:30;USA;MLS;Philadelphia Union;DC United;27;43;30;43;0,6279;0,6977;1,3256
183;17/05/2023;20:30;USA;MLS;Toronto FC;New York Red Bulls;29;43;26;43;0,6744;0,6047;1,2791
184;17/05/2023;21:30;USA;MLS;FC Dallas;Vancouver Whitecaps;29;43;26;43;0,6744;0,6047;1,2791
185;17/05/2023;21:30;USA;MLS;Minnesota United;Houston Dynamo;28;43;26;43;0,6512;0,6047;1,2559
186;17/05/2023;21:30;USA;MLS;Nashville SC;Inter Miami;28;43;26;43;0,6512;0,6047;1,2559
187;17/05/2023;22:30;USA;MLS;Real Salt Lake;Portland Timbers;33;43;32;43;0,7674;0,7442;1,5116
188;17/05/2023;23:30;USA;MLS;Los Angeles FC;Sporting Kansas City;29;43;32;43;0,6744;0,7442;1,4186
189;17/05/2023;23:30;USA;MLS;Seattle Sounders;Austin FC;32;43;32;43;0,7442;0,7442;1,4884
