Nº;Date;Time;Country;League;Home;Away;golsHome;jogosHome;golsAway;jogosAway;avgHome;sdHome;avgAway;sdAway;avgSum;0x0;1x0;2x0;1x1;0x1;0x2;U25
357;27/08/2023;12:00;NORWAY;OBOS-LIGAEN - ROUND 21;Asane;Raufoss;34;21;24;19;1,619;1,1329;1,2632;1,3704;2,8822;5,6;9,07;7,34;11,46;7,08;4,47;45,02
358;27/08/2023;12:00;NORWAY;OBOS-LIGAEN - ROUND 21;Jerv;Bryne;29;18;28;22;1,6111;1,3391;1,2727;0,9621;2,8838;5,59;9,01;7,26;11,47;7,12;4,53;44,98
359;27/08/2023;14:30;SPAIN;LALIGA2 - ROUND 3;Mirandes;Espanyol;29;18;28;22;1,6111;1,0614;1,2727;0,7497;2,8838;5,59;9,01;7,26;11,47;7,12;4,53;44,98
360;27/08/2023;08:00;GERMANY;JUNIOREN BUNDESLIGA WEST - ROUND 4;Arminia Bielefeld U19;Bochum U19;26;21;38;23;1,2381;1,6007;1,6522;1,4021;2,8903;5,55;6,88;4,26;11,37;9,18;7,58;44,82
361;27/08/2023;11:30;CZECH REPUBLIC;DIVISION D - ROUND 4;Stara Rise;Sperice;38;23;26;21;1,6522;1,6046;1,2381;1,477;2,8903;5,55;9,18;7,58;11,37;6,88;4,26;44,82
362;27/08/2023;18:00;COLOMBIA;PRIMERA A - CLAUSURA - ROUND 8;Millonarios;Atl. Nacional;36;20;24;22;1,8;1,0296;1,0909;0,9;2,8909;5,55;9,99;9,0;10,9;6,06;3,3;44,8
363;27/08/2023;09:00;LITHUANIA;A LYGA - ROUND 28;FK Panevezys;Banga;43;25;27;23;1,72;1,1496;1,1739;1,3072;2,8939;5,54;9,52;8,19;11,18;6,5;3,81;44,74
364;27/08/2023;10:55;OMAN;PROFESSIONAL LEAGUE - ROUND 2;Al Nahda;Al-Wahda;32;20;22;17;1,6;0,9695;1,2941;1,1765;2,8941;5,53;8,85;7,08;11,46;7,16;4,64;44,72
365;27/08/2023;08:30;GERMANY;OBERLIGA NOFV-NORD - ROUND 4;Tasmania Berlin;Furstenwalde;40;23;22;19;1,7391;1,6995;1,1579;1,1362;2,897;5,52;9,6;8,35;11,11;6,39;3,7;44,67
366;27/08/2023;15:00;BRAZIL;SERIE D - PLAY OFFS - QUARTER-FINALS;Maranhao;Ferroviario;37;22;28;23;1,6818;1,1827;1,2174;0,8825;2,8992;5,51;9,26;7,79;11,27;6,7;4,08;44,61
367;27/08/2023;05:30;CZECH REPUBLIC;MSFL - ROUND 4;Zlin B;Uhersky Brod;40;20;18;20;2,0;1,2247;0,9;0,8307;2,9;5,5;11,01;11,01;9,9;4,95;2,23;44,6
368;27/08/2023;12:00;NORWAY;ELITESERIEN - ROUND 20;Sandefjord;Haugesund;35;18;22;23;1,9444;1,5446;0,9565;0,9545;2,9009;5,5;10,69;10,39;10,22;5,26;2,52;44,58
369;27/08/2023;20:00;ECUADOR;LIGA PRO - SECOND STAGE - ROUND 19;Gualaceo;LDU Quito;27;21;34;21;1,2857;0,8806;1,619;1,3965;2,9047;5,48;7,04;4,53;11,4;8,87;7,18;44,5
370;27/08/2023;10:00;GERMANY;OBERLIGA HESSEN - ROUND 5;Eddersheim;Alzenau;25;21;36;21;1,1905;1,0057;1,7143;1,3851;2,9048;5,48;6,52;3,88;11,17;9,39;8,05;44,49
371;27/08/2023;15:00;PERU;LIGA 1 - CLAUSURA - ROUND 11;Grau;U. de Deportes;44;22;20;22;2,0;1,0871;0,9091;1,1245;2,9091;5,45;10,91;10,91;9,92;4,96;2,25;44,4
372;27/08/2023;15:45;TURKEY;SUPER LIG - ROUND 3;Alanyaspor;Hatayspor;45;23;20;21;1,9565;1,2328;0,9524;1,6468;2,9089;5,45;10,67;10,44;10,16;5,19;2,47;44,38
373;27/08/2023;12:30;HUNGARY;MERKANTIL BANK LIGA - ROUND 6;Budafoki;Kozarmisleny SE;34;24;33;22;1,4167;1,0375;1,5;1,234;2,9167;5,41;7,67;5,43;11,5;8,12;6,09;44,22
374;27/08/2023;10:00;SWEDEN;SUPERETTAN - ROUND 20;Oster;Orgryte;33;20;28;22;1,65;1,4239;1,2727;0,9621;2,9227;5,38;8,88;7,32;11,29;6,84;4,35;44,06
375;27/08/2023;06:00;GERMANY;2. BUNDESLIGA WOMEN - ROUND 2;Hoffenheim II W;Bayern Munich II W;34;22;29;21;1,5455;1,5588;1,381;1,1329;2,9265;5,36;8,28;6,4;11,44;7,4;5,11;43,99
376;27/08/2023;18:00;USA;USL CHAMPIONSHIP;Birmingham;Detroit;44;24;23;21;1,8333;1,2134;1,0952;1,2688;2,9285;5,35;9,8;8,99;10,74;5,86;3,21;43,95
377;27/08/2023;13:00;BULGARIA;PARVA LIGA - ROUND 7;Etar;Botev Plovdiv;32;20;24;18;1,6;1,0198;1,3333;1,2472;2,9333;5,32;8,51;6,81;11,35;7,1;4,73;43,82
378;27/08/2023;09:00;LATVIA;OPTIBET VIRSLIGA - ROUND 27;BFC Daugavpils;Auda;34;22;25;18;1,5455;1,5588;1,3889;1,3391;2,9344;5,32;8,22;6,35;11,41;7,38;5,13;43,81
379;27/08/2023;09:00;GERMANY;REGIONALLIGA NORTH - ROUND 5;TSV Havelse;Jeddeloh;43;24;24;21;1,7917;1,1895;1,1429;1,1249;2,9346;5,32;9,52;8,53;10,88;6,08;3,47;43,8
380;27/08/2023;18:30;EL SALVADOR;PRIMERA DIVISION - APERTURA - ROUND 4;Aguila;11 Deportivo;44;22;21;22;2,0;1,6514;0,9545;1,1472;2,9545;5,21;10,42;10,42;9,95;4,97;2,37;43,34
381;27/08/2023;11:30;SERBIA;SRPSKA LIGA - EAST - ROUND 3;Vlasina;Mesevo;41;22;24;22;1,8636;1,0994;1,0909;1,1245;2,9545;5,21;9,71;9,05;10,59;5,68;3,1;43,34
382;27/08/2023;11:00;FAROE ISLANDS;PREMIER LEAGUE - ROUND 20;AB Argir;HB Torshavn;21;21;43;22;1,0;1,1127;1,9545;1,609;2,9545;5,21;5,21;2,6;10,18;10,18;9,95;43,33
383;27/08/2023;11:30;SWITZERLAND;SUPER LEAGUE - ROUND 5;Lausanne;Winterthur;45;25;22;19;1,8;1,1314;1,1579;0,7443;2,9579;5,19;9,34;8,41;10,82;6,01;3,48;43,25
384;27/08/2023;23:05;MEXICO;LIGA MX - APERTURA - ROUND 6;Monterrey;Cruz Azul;40;22;24;21;1,8182;1,4025;1,1429;0,8883;2,9611;5,18;9,41;8,56;10,76;5,92;3,38;43,21
385;27/08/2023;09:30;MOZAMBIQUE;MOCAMBOLA - ROUND 16;Black Bulls;UD Songo;46;21;17;22;2,1905;1,6795;0,7727;0,7938;2,9632;5,17;11,31;12,39;8,74;3,99;1,54;43,14
386;27/08/2023;09:00;SWEDEN;DIVISION 2 - NORRA SVEALAND - ROUND 18;Osteraker IFK;Enskede;40;23;27;22;1,7391;1,4512;1,2273;0,9502;2,9664;5,15;8,95;7,79;10,99;6,32;3,88;43,08
387;27/08/2023;08:30;GERMANY;OBERLIGA NOFV-NORD - ROUND 4;Neustrelitz;CFC Hertha;34;21;31;23;1,619;1,4302;1,3478;1,3708;2,9668;5,15;8,33;6,74;11,23;6,94;4,68;43,07
388;27/08/2023;16:00;BRAZIL;SERIE A - ROUND 21;America MG;Sao Paulo;40;22;23;20;1,8182;1,3697;1,15;0,9097;2,9682;5,14;9,34;8,49;10,74;5,91;3,4;43,02
389;27/08/2023;21:00;CHILE;PRIMERA B - ROUND 24;San Marcos de Arica;Deportes Temuco;40;19;19;22;2,1053;1,119;0,8636;0,9674;2,9689;5,14;10,81;11,38;9,34;4,43;1,91;43,01
390;27/08/2023;11:00;BELGIUM;JUPILER PRO LEAGUE - ROUND 5;St. Truiden;Cercle Brugge KSV;29;20;32;21;1,45;1,3955;1,5238;1,4013;2,9738;5,11;7,41;5,37;11,29;7,79;5,94;42,91
391;27/08/2023;09:00;SCOTLAND;SWPL 1 WOMEN - ROUND 4;Hibernian W;Spartans W;33;19;26;21;1,7368;1,9693;1,2381;1,1086;2,9749;5,11;8,87;7,7;10,98;6,32;3,91;42,89
392;27/08/2023;11:00;SWEDEN;DIVISION 2 - VÄSTRA GÖTALAND - ROUND 18;Tolo;Tord;31;21;33;22;1,4762;1,4677;1,5;0,9886;2,9762;5,1;7,53;5,56;11,29;7,65;5,74;42,87
393;27/08/2023;12:00;POLAND;III LIGA - GROUP III - ROUND 5;Polkowice;Goczalkowice Zdroj;42;24;27;22;1,75;1,2666;1,2273;1,0843;2,9773;5,09;8,91;7,8;10,94;6,25;3,84;42,83
394;27/08/2023;11:00;FAROE ISLANDS;PREMIER LEAGUE - ROUND 20;07 Vestur Sorvagur;Toftir;33;23;34;22;1,4348;1,1354;1,5455;1,4374;2,9803;5,08;7,29;5,23;11,26;7,85;6,06;42,77
395;27/08/2023;07:00;POLAND;III LIGA - GROUP I - ROUND 5;Zambrow;Mlawa;27;23;38;21;1,1739;1,2033;1,8095;1,3669;2,9834;5,06;5,94;3,49;10,75;9,16;8,29;42,69
396;27/08/2023;10:00;SWITZERLAND;1.LIGA CLASSIC GROUP 1;Portalban;Grand-Saconnex;35;24;26;17;1,4583;1,3534;1,5294;1,091;2,9877;5,04;7,35;5,36;11,24;7,71;5,89;42,59
397;27/08/2023;10:00;FRANCE;LIGUE 1 - ROUND 3;Montpellier;Reims;35;20;26;21;1,75;1,337;1,2381;1,5707;2,9881;5,04;8,82;7,71;10,92;6,24;3,86;42,59
398;27/08/2023;10:00;MALAYSIA;SUPER LEAGUE - ROUND 21;Kelantan United;Sri Pahang;24;19;38;22;1,2632;1,2499;1,7273;1,3545;2,9905;5,03;6,35;4,01;10,97;8,68;7,5;42,54
399;27/08/2023;12:00;SLOVAKIA;4. LIGA - WEST - ROUND 4;FK TJ Lokomotiva Kozarovce;Crystal;28;19;32;21;1,4737;1,4643;1,5238;1,3669;2,9975;4,99;7,36;5,42;11,21;7,61;5,8;42,39
400;27/08/2023;08:00;SWEDEN;DIVISION 1 - NORRA - ROUND 19;Motala;Taby;28;19;32;21;1,4737;1,2298;1,5238;1,4013;2,9975;4,99;7,36;5,42;11,21;7,61;5,8;42,39
401;27/08/2023;09:00;ENGLAND;WOMEN’S CHAMPIONSHIP - ROUND 1;Sunderland W;London City Lionesses W;23;22;41;21;1,0455;1,1069;1,9524;1,9634;2,9979;4,99;5,21;2,73;10,18;9,74;9,51;42,36
402;27/08/2023;10:00;POLAND;III LIGA - GROUP I - ROUND 5;Sulejowek;T. Mazowiecki;28;21;35;21;1,3333;0,992;1,6667;1,5836;3,0;4,98;6,64;4,43;11,07;8,3;6,91;42,33
403;27/08/2023;08:30;GERMANY;2. BUNDESLIGA - ROUND 4;Nurnberg;Wehen;27;20;33;20;1,35;1,0137;1,65;1,1948;3,0;4,98;6,72;4,54;11,09;8,21;6,78;42,32
404;27/08/2023;12:00;CZECH REPUBLIC;KRALOVEHRADECKY KP - ROUND 4;Dvur Kralove;Cerveny Kostelec;27;20;33;20;1,35;1,2757;1,65;1,4586;3,0;4,98;6,72;4,54;11,09;8,21;6,78;42,32
405;27/08/2023;11:00;SWEDEN;DIVISION 2 - SÖDRA SVEALAND - ROUND 18;Mjolby AI FF;IFK Eskilstuna;34;21;29;21;1,619;1,09;1,381;1,5879;3,0;4,98;8,06;6,52;11,13;6,88;4,75;42,32
406;27/08/2023;11:00;SLOVAKIA;4. LIGA - EAST - ROUND 6;Lok. Kosice;Rudnany;45;24;25;22;1,875;1,536;1,1364;1,2539;3,0114;4,92;9,23;8,65;10,49;5,6;3,18;42,07
407;27/08/2023;14:00;ICELAND;BESTA DEILD KARLA - ROUND 21;Keflavik;Fram;29;21;31;19;1,381;1,1742;1,6316;1,4942;3,0126;4,92;6,79;4,69;11,08;8,02;6,54;42,04
408;27/08/2023;12:30;SWEDEN;ALLSVENSKAN - ROUND 21;Djurgarden;Degerfors;35;19;27;23;1,8421;1,4605;1,1739;0,8674;3,016;4,9;9,03;8,31;10,59;5,75;3,38;41,96
409;27/08/2023;13:30;ITALY;SERIE A - ROUND 2;Juventus;Bologna;37;24;31;21;1,5417;1,1895;1,4762;1,18;3,0179;4,89;7,54;5,81;11,13;7,22;5,33;41,92
410;27/08/2023;16:00;BRAZIL;COPA PAULISTA - ROUND 9;Marilia;Noroeste;36;23;32;22;1,5652;1,2795;1,4545;1,1171;3,0197;4,88;7,64;5,98;11,11;7,1;5,16;41,87
411;27/08/2023;13:00;PORTUGAL;CAMPEONATO DE PORTUGAL - GROUP B - ROUND 2;Gondomar;Salgueiros;34;22;31;21;1,5455;0,9875;1,4762;0,5871;3,0217;4,87;7,53;5,82;11,11;7,19;5,31;41,83
412;27/08/2023;11:30;SLOVAKIA;3. LIGA - EAST - ROUND 4;Kalinovo;Bardejov;22;19;41;22;1,1579;0,9875;1,8636;2,3606;3,0215;4,87;5,64;3,27;10,51;9,08;8,46;41,83
413;27/08/2023;12:00;SCOTLAND;SWPL 1 WOMEN - ROUND 4;Motherwell W;Hamilton W;39;22;25;20;1,7727;1,3461;1,25;1,1779;3,0227;4,87;8,63;7,65;10,78;6,08;3,8;41,81
414;27/08/2023;14:00;TURKEY;2. LIG RED GROUP - ROUND 1;Isparta 32 Spor;Soma Spor;30;20;32;21;1,5;1,8303;1,5238;1,4349;3,0238;4,86;7,29;5,47;11,11;7,41;5,64;41,78
415;27/08/2023;07:00;NORWAY;DIVISION 3 - GROUP 5 - ROUND 17;Kolstad;Bodo/Glimt 2;31;20;31;21;1,55;1,7168;1,4762;1,4677;3,0262;4,85;7,52;5,83;11,1;7,16;5,28;41,74
416;27/08/2023;13:00;PALESTINE;WEST BANK LEAGUE - ROUND 2;Merkaz;Al Khaleel;33;21;32;22;1,5714;1,0498;1,4545;1,0757;3,0259;4,85;7,62;5,99;11,09;7,05;5,13;41,73
417;27/08/2023;11:00;POLAND;III LIGA - GROUP II - ROUND 5;Elana Torun;Swit Skolwin;31;22;34;21;1,4091;1,7231;1,619;1,7037;3,0281;4,84;6,82;4,81;11,04;7,84;6,34;41,69
418;27/08/2023;11:00;UNITED ARAB EMIRATES;UAE LEAGUE - ROUND 2;Shabab Al-Ahli Dubai;Khorfakkan;37;20;26;22;1,85;1,1948;1,1818;1,1923;3,0318;4,82;8,92;8,25;10,55;5,7;3,37;41,61
419;27/08/2023;10:00;KAZAKHSTAN;PREMIER LEAGUE - ROUND 21;Kairat Almaty;FC Astana;36;21;29;22;1,7143;1,0302;1,3182;1,1436;3,0325;4,82;8,26;7,08;10,89;6,35;4,19;41,59
420;27/08/2023;11:30;CZECH REPUBLIC;DIVISION F - ROUND 4;Frenstat p. R.;Sumperk;38;21;27;22;1,8095;1,7077;1,2273;1,0415;3,0368;4,8;8,68;7,86;10,66;5,89;3,61;41,5
421;27/08/2023;12:00;WORLD;CLUB FRIENDLY WOMEN;Dep. La Coruna W;Eibar W;53;26;23;23;2,0385;1,4272;1,0;0,5898;3,0385;4,79;9,77;9,96;9,77;4,79;2,39;41,47
422;27/08/2023;11:30;CZECH REPUBLIC;OLOMOUCKY KP - ROUND 4;Konice;Mohelnice;26;22;39;21;1,1818;1,0285;1,8571;1,7261;3,0389;4,79;5,66;3,34;10,51;8,89;8,26;41,45
423;27/08/2023;09:00;POLAND;III LIGA - GROUP II - ROUND 5;Starogard Gdanski;Nowe Skalmierzyce;24;22;43;22;1,0909;0,8479;1,9545;1,1472;3,0454;4,76;5,19;2,83;10,14;9,3;9,09;41,31
424;27/08/2023;15:45;TURKEY;1. LIG - ROUND 3;Kocaelispor;Altay;48;24;22;21;2,0;1,1902;1,0476;0,95;3,0476;4,75;9,5;9,5;9,95;4,97;2,6;41,27
425;27/08/2023;11:30;CZECH REPUBLIC;ZLINSKY KP - ROUND 4;Borsice;Brumov;25;21;39;21;1,1905;1,1389;1,8571;1,7261;3,0476;4,75;5,65;3,36;10,49;8,82;8,19;41,26
426;27/08/2023;18:00;BRAZIL;SERIE B - ROUND 25;Atletico GO;Vitoria;43;22;23;21;1,9545;1,3973;1,0952;0,9712;3,0497;4,74;9,26;9,05;10,14;5,19;2,84;41,22
427;27/08/2023;12:00;NORWAY;OBOS-LIGAEN - ROUND 21;Sandnes;Mjondalen;38;26;35;22;1,4615;1,2163;1,5909;1,3369;3,0524;4,72;6,9;5,05;10,98;7,52;5,98;41,15
428;27/08/2023;14:00;COSTA RICA;LIGA DE ASCENSO - APERTURA - ROUND 7;Ad Aserri;Guadalupe;40;21;23;20;1,9048;1,5707;1,15;1,1079;3,0548;4,71;8,98;8,55;10,32;5,42;3,12;41,1
429;27/08/2023;12:00;SERBIA;PRVA LIGA - ROUND 4;OFK Beograd;Radnicki Beograd;50;25;19;18;2,0;1,4967;1,0556;0,9702;3,0556;4,71;9,42;9,42;9,94;4,97;2,62;41,08
430;27/08/2023;15:00;WORLD;CLUB FRIENDLY;Navalcarnero;Guadalajara;31;22;33;20;1,4091;1,267;1,65;1,4586;3,0591;4,69;6,61;4,66;10,91;7,75;6,39;41,01
431;27/08/2023;11:00;TURKEY;SUPER LIG WOMEN - ROUND 1;Amed SK W;1207 Antalyaspor W;28;21;38;22;1,3333;1,5223;1,7273;1,8873;3,0606;4,69;6,25;4,17;10,79;8,1;6,99;40,99
432;27/08/2023;11:55;LITHUANIA;A LYGA - ROUND 28;Zalgiris;Dziugas Telsiai;36;22;30;21;1,6364;1,3995;1,4286;1,734;3,065;4,67;7,64;6,25;10,91;6,67;4,76;40,9
433;27/08/2023;14:00;HUNGARY;MERKANTIL BANK LIGA - ROUND 6;Szeged;Csakvari;40;24;28;20;1,6667;1,724;1,4;1,2;3,0667;4,66;7,76;6,47;10,87;6,52;4,57;40,85
434;27/08/2023;13:30;BELGIUM;JUPILER PRO LEAGUE - ROUND 5;Anderlecht;Charleroi;39;21;29;24;1,8571;1,3197;1,2083;0,9119;3,0654;4,66;8,66;8,04;10,46;5,63;3,4;40,85
435;27/08/2023;21:30;ARGENTINA;COPA DE LA LIGA PROFESIONAL - ROUND 2;River Plate;Barracas Central;52;24;18;20;2,1667;0,986;0,9;1,2207;3,0667;4,66;10,09;10,93;9,08;4,19;1,89;40,84
436;27/08/2023;11:00;NORTH MACEDONIA;1. MFL - ROUND 5;Rabotnicki;Shkendija;35;22;31;21;1,5909;1,2306;1,4762;1,18;3,0671;4,65;7,41;5,89;10,93;6,87;5,07;40,82
437;27/08/2023;11:00;FAROE ISLANDS;PREMIER LEAGUE - ROUND 20;IF Fuglafjordur;Vikingur;35;20;29;22;1,75;1,299;1,3182;1,0611;3,0682;4,65;8,14;7,12;10,73;6,13;4,04;40,81
438;27/08/2023;05:30;AUSTRIA;2. LIGA - ROUND 5;Sturm Graz;Kapfenberg;36;19;26;22;1,8947;1,6188;1,1818;1,0285;3,0765;4,61;8,74;8,28;10,33;5,45;3,22;40,63
439;27/08/2023;08:00;SWEDEN;SUPERETTAN - ROUND 20;Brage;Utsikten;28;18;32;21;1,5556;1,3833;1,5238;0,8518;3,0794;4,6;7,15;5,57;10,9;7,01;5,34;40,57
440;27/08/2023;09:00;SWEDEN;DIVISION 2 - NORRA SVEALAND - ROUND 18;Sandvikens AIK;Jarfalla;34;20;29;21;1,7;1,3454;1,381;1,1742;3,081;4,59;7,81;6,63;10,78;6,34;4,38;40,53
441;27/08/2023;07:30;SOUTH KOREA;K LEAGUE 1 - ROUND 28;Gwangju FC;Suwon Bluewings;32;19;28;20;1,6842;1,5236;1,4;0,9165;3,0842;4,58;7,71;6,49;10,79;6,41;4,49;40,47
442;27/08/2023;17:00;PERU;LIGA WOMEN - PLAY OFFS - 3RD PLACE;Carlos Mannucci W;Sporting Cristal W;48;23;24;24;2,087;1,8862;1,0;1,3229;3,087;4,57;9,52;9,94;9,52;4,57;2,28;40,4
443;27/08/2023;09:00;DENMARK;ELITEDIVISIONEN WOMEN - ROUND 1;Brondby W;Aalborg W;42;25;31;22;1,68;1,4344;1,4091;1,642;3,0891;4,56;7,65;6,43;10,78;6,42;4,52;40,36
444;27/08/2023;08:30;BELGIUM;CHALLENGER PRO LEAGUE - ROUND 3;Dender;Lierse K.;30;22;38;22;1,3636;1,1499;1,7273;1,2498;3,0909;4,55;6,2;4,23;10,71;7,85;6,78;40,32
445;27/08/2023;15:00;ALBANIA;SUPERLIGA - ROUND 1;Dinamo Tirana;KF Tirana;38;22;26;19;1,7273;1,4827;1,3684;1,1337;3,0957;4,53;7,82;6,75;10,7;6,19;4,24;40,23
446;27/08/2023;11:30;HUNGARY;HUNGARIAN CUP - 1/64-FINALS;Andrashida;Tatabanya;24;24;44;21;1,0;1,4142;2,0952;1,2307;3,0952;4,53;4,53;2,26;9,48;9,48;9,94;40,22
447;27/08/2023;09:00;KENYA;PREMIER LEAGUE - ROUND 1;Shabana;Muranga;39;21;26;21;1,8571;1,39;1,2381;1,0191;3,0952;4,53;8,4;7,8;10,41;5,6;3,47;40,21
448;27/08/2023;10:00;SWITZERLAND;1.LIGA CLASSIC GROUP 2;Langenthal;Koniz;34;21;34;23;1,619;0,8438;1,4783;1,1371;3,0973;4,52;7,31;5,92;10,81;6,68;4,94;40,18
449;27/08/2023;16:00;BRAZIL;SERIE A - ROUND 21;Botafogo RJ;Bahia;50;22;19;23;2,2727;1,6006;0,8261;0,9624;3,0988;4,51;10,25;11,65;8,47;3,72;1,54;40,14
450;27/08/2023;20:00;USA;MLS NEXT PRO;Houston Dynamo 2;LA Galaxy 2;32;20;30;20;1,6;0,9695;1,5;1,3964;3,1;4,5;7,21;5,76;10,81;6,76;5,07;40,11
451;27/08/2023;12:30;ESTONIA;MEISTRILIIGA - ROUND 25;Kalju;Kuressaare;30;22;33;19;1,3636;1,2264;1,7368;1,8018;3,1004;4,5;6,14;4,19;10,66;7,82;6,79;40,1
452;27/08/2023;11:00;LATVIA;1. LIGA - ROUND 17;Grobina;Riga FC 2;76;23;66;21;3,3043;2,4748;3,1429;1,9588;6,4472;0,16;0,52;0,87;1,64;0,5;0,78;4,47
453;27/08/2023;05:30;SLOVENIA;1. SZNL WOMEN - ROUND 3;Cerklje W;ZNK Ljubljana W;37;22;102;21;1,6818;2,0755;4,8571;4,7638;6,5389;0,15;0,24;0,21;1,18;0,7;1,71;4,19
454;27/08/2023;13:00;POLAND;DIVISION 1 - ROUND 6;Termalica B-B.;Pruszkow;32;22;38;23;1,4545;0,8907;1,6522;1,4628;3,1067;4,47;6,51;4,73;10,75;7,39;6,11;39,96
455;27/08/2023;11:00;SLOVAKIA;4. LIGA - EAST - ROUND 6;Poprad;Sabinov;29;21;38;22;1,381;1,5268;1,7273;1,6564;3,1083;4,47;6,17;4,26;10,66;7,72;6,66;39,94
456;27/08/2023;12:45;KUWAIT;DIVISION 1 - ROUND 1;Al Sahel;Al Tadamon;40;22;31;24;1,8182;1,1134;1,2917;1,3687;3,1099;4,46;8,11;7,37;10,48;5,76;3,72;39,9
457;27/08/2023;20:00;PARAGUAY;PRIMERA DIVISION - CLAUSURA - ROUND 8;General Caballero JLM;Guarani;22;19;45;23;1,1579;1,0889;1,9565;2,7422;3,1144;4,44;5,14;2,98;10,06;8,69;8,5;39,81
458;27/08/2023;02:00;AUSTRALIA;NPL NSW - ROUND 30;Mount Druitt Rangers;Wollongong Wolves;29;22;36;20;1,3182;1,0174;1,8;1,249;3,1182;4,42;5,83;3,84;10,5;7,96;7,17;39,72
459;27/08/2023;11:30;CZECH REPUBLIC;DIVISION F - ROUND 4;Bohumin;Vitkovice;52;21;15;23;2,4762;2,0614;0,6522;0,8652;3,1284;4,38;10,85;13,42;7,07;2,86;0,93;39,51
460;27/08/2023;11:00;BELGIUM;BELGIAN CUP - QUALIFICATION - SEMI-FINALS;URSL Vise;Binche;42;24;29;21;1,75;1,1637;1,381;1,1742;3,131;4,37;7,64;6,69;10,56;6,03;4,17;39,46
461;27/08/2023;02:00;AUSTRALIA;NPL NSW - ROUND 30;Sydney FC U21;Sutherland Sharks;40;20;26;23;2,0;1,2649;1,1304;0,9915;3,1304;4,37;8,74;8,74;9,88;4,94;2,79;39,46
462;27/08/2023;10:00;DENMARK;1ST DIVISION - ROUND 7;Aalborg;Hillerod;28;20;45;26;1,4;1,3191;1,7308;1,8514;3,1308;4,37;6,11;4,28;10,58;7,56;6,54;39,44
463;27/08/2023;09:00;NORWAY;DIVISION 2 - GROUP 1 - ROUND 17;Traeff;Flekkeroy;37;22;29;20;1,6818;1,3614;1,45;1,7168;3,1318;4,36;7,34;6,17;10,64;6,33;4,59;39,43
464;27/08/2023;09:00;CZECH REPUBLIC;DIVISION B - ROUND 4;Admira Prague B;Louny;41;24;30;21;1,7083;1,6951;1,4286;1,6782;3,1369;4,34;7,42;6,34;10,6;6,2;4,43;39,33
465;27/08/2023;11:00;FAROE ISLANDS;PREMIER LEAGUE - ROUND 20;Klaksvik;Streymur;48;23;21;20;2,087;1,9762;1,05;1,5322;3,137;4,34;9,06;9,45;9,51;4,56;2,39;39,31
466;27/08/2023;09:00;GERMANY;OBERLIGA NOFV-NORD - ROUND 4;Staaken;TB Berlin;41;21;25;21;1,9524;1,3965;1,1905;1,0519;3,1429;4,32;8,43;8,23;10,03;5,14;3,06;39,21
467;27/08/2023;11:00;ARGENTINA;PRIMERA A WOMEN - CLAUSURA - ROUND 2;El Porvenir W;Racing Club W;22;21;44;21;1,0476;1,09;2,0952;2,4476;3,1428;4,31;4,52;2,37;9,47;9,04;9,48;39,19
468;27/08/2023;11:30;CZECH REPUBLIC;DIVISION F - ROUND 4;Bilovec;Bruntal;41;20;23;21;2,05;1,3955;1,0952;1,0191;3,1452;4,31;8,83;9,05;9,67;4,71;2,58;39,15
469;27/08/2023;11:00;BRAZIL;SERIE A - ROUND 21;Bragantino;Cuiaba;39;20;24;20;1,95;1,9358;1,2;1,0296;3,15;4,29;8,36;8,15;10,03;5,14;3,09;39,06
470;27/08/2023;07:00;SOUTH KOREA;K LEAGUE 1 - ROUND 28;Seoul;Ulsan Hyundai;38;22;30;21;1,7273;1,4517;1,4286;1,0942;3,1559;4,26;7,36;6,36;10,52;6,09;4,35;38,94
471;27/08/2023;15:00;ARGENTINA;PRIMERA A WOMEN - CLAUSURA - ROUND 2;Gimnasia L.P. W;Rosario Central W;27;21;43;23;1,2857;1,2009;1,8696;1,8251;3,1553;4,26;5,48;3,52;10,25;7,97;7,45;38,93
472;27/08/2023;18:30;BRAZIL;SERIE A - ROUND 21;Athletico-PR;Fluminense;42;22;25;20;1,9091;1,0405;1,25;1,4098;3,1591;4,25;8,11;7,74;10,13;5,31;3,32;38,86
473;27/08/2023;12:00;ENGLAND;WOMEN’S CHAMPIONSHIP - ROUND 1;Lewes W;Southampton W;33;23;38;22;1,4348;1,5273;1,7273;1,6564;3,1621;4,24;6,08;4,36;10,49;7,32;6,32;38,81
474;27/08/2023;13:00;BULGARIA;VTORA LIGA - ROUND 7;Spartak Varna;Marek;34;21;34;22;1,619;1,1742;1,5455;1,2695;3,1645;4,22;6,84;5,53;10,57;6,53;5,04;38,73
475;27/08/2023;05:15;CZECH REPUBLIC;CFL - GROUP A - ROUND 4;Admira Prague;Kraluv Dvur;38;24;38;24;1,5833;1,1517;1,5833;1,73;3,1666;4,21;6,67;5,28;10,56;6,67;5,28;38,67
476;27/08/2023;10:00;FINLAND;VEIKKAUSLIIGA;Honka;Ilves;43;25;29;20;1,72;1,7093;1,45;1,6271;3,17;4,2;7,23;6,21;10,48;6,09;4,42;38,63
477;27/08/2023;11:30;SLOVAKIA;3. LIGA - EAST - ROUND 4;Filakovo;Slavia TU Kosice;34;19;36;26;1,7895;1,2388;1,3846;1,1121;3,1741;4,18;7,48;6,7;10,36;5,79;4,01;38,52
